"dataset","id","trt","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40"
1,1,0,9.609,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,59,39.78,8.72,46.25,18.69,35.12,70.54,20.03,30.52,10.98,16.8,35.85,12.04,44,84.88,82.68,77,21.69,58.6,25.22
1,2,0,6.131,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,2,2,0,0,30.08,94.69,2.31,37.07,10.1,87.46,92.28,77.39,9.59,15.85,17.43,20.79,83.56,9.21,27.38,43.24,60.36,15.62,23.9,54.44
1,3,0,7.241,1,1,0,1,0,0,1,0,0,0,2,2,1,1,1,1,1,1,1,1,26.92,31.61,52.09,68.59,3.97,40.21,9.19,2.42,54.94,95.69,6.03,84.53,72.71,53.55,49.47,53.62,21.76,65.01,48.91,25.02
1,4,0,7.252,0,0,2,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,69.5,16.01,48.71,21.16,73.29,77.32,43.64,57.34,8.76,32.99,55.24,62.89,7.6,84.58,8.47,60.5,7.14,2.78,88.74,44.59
1,5,1,7.143,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,1,1,1,1,0,52.35,34.69,86.86,68.82,63.72,98.84,95.49,49.71,61.71,29.84,27.19,16.58,85.73,32.17,31.29,1.89,52.99,44.07,28.38,64.34
1,6,1,8.63,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,39.98,80.4,80.4,58.79,75.18,49.79,17.7,40.76,40.35,1.36,46.03,90.92,78.69,11.8,16.94,19.23,63.49,66.94,52.71,78.11
1,7,1,7.032,1,1,0,0,0,0,0,1,1,1,2,2,1,1,0,0,1,1,0,1,50.11,35.48,8.74,63.83,76.86,42.92,1.67,60.63,73.41,9.27,19.11,0.93,26.69,75.65,64.24,54.31,95.65,36.22,34.47,64.16
1,8,1,6.703,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,8.43,60.88,28.69,57.51,63.71,11.51,69.68,49.45,67.38,5.27,63.37,23.32,70.41,66.21,56.42,84.61,44.85,32.19,71.14,55.2
1,9,0,10.155,2,2,0,0,0,0,1,1,2,2,0,1,2,2,0,0,0,0,2,1,44.69,82.04,79.4,71.63,60.97,85.26,41.34,84.49,52.02,48.21,4.08,66.91,78.24,7.32,54.42,28.98,92.77,61.17,95.9,31.01
1,10,0,6.972,0,1,1,1,1,1,1,0,1,2,0,0,0,0,1,1,1,1,0,0,19.01,50.79,54.32,38.05,93.13,81.12,86.38,80.79,22.31,8.77,9,31.25,66.74,31.18,92.43,2.47,17.52,44.16,37.87,53.11
1,11,1,7.044,1,0,1,1,1,1,0,0,2,1,0,0,1,1,0,1,0,2,0,0,55,50.05,99.03,36.47,15.91,10.32,91.68,82.5,15.2,74.86,45.72,81.72,65.37,37.18,94.77,47.89,41.56,84.5,43.56,46.01
1,12,1,8.233,0,0,1,1,2,2,1,2,0,0,1,1,1,1,0,0,1,1,0,0,57.63,33.18,74.43,31.17,13.44,27.53,44.19,13.1,42.32,84.33,32.15,60.29,66.84,48.15,38.64,76.31,40.41,32.79,71.55,97.55
1,13,0,9.268,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,1,20.87,84.53,5.81,18.32,30,84.93,50.68,57.34,61.26,82.9,92.19,55.57,59.28,52.52,66.99,35.19,41.88,67.95,69.32,34.79
1,14,1,5.588,1,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,2,2,1,1,51.29,65.88,96.42,26.67,9.42,59.75,69.74,55.83,24.14,88.48,78.54,43.96,38.1,78.28,93.4,96.08,57.43,64.7,56.79,3.82
1,15,1,8.533,0,0,1,1,1,1,1,1,0,0,2,2,2,2,1,1,0,0,0,0,34.43,42.33,78.8,49.02,5.42,97.46,53.72,85.54,22.07,64.82,90.92,40.13,61.19,80.3,74.91,89.05,76.21,70.32,47.87,71.02
1,16,1,7.039,0,0,1,1,0,0,2,2,0,0,1,0,1,1,1,1,1,1,0,0,27.85,1.59,77.1,80.88,49.18,4.77,99.47,63.73,16.01,8.73,47.23,90.8,35.46,21.46,57.61,8.62,12.77,14.89,91.01,77.89
1,17,1,9.345,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96.75,97.74,33.93,89.54,91.91,10.96,56.67,17.23,76.33,44.64,68.73,43.1,65.06,69.85,77.56,75.01,47.52,4.53,67.55,7.71
